JnlTitle,Publisher,PubCountry,Fee,WaiverPolicy,Identifiers,FirstYear,Language,ReviewProcess,Plagiarism,Sub2Pub,JnlLicense,AuthorCopyright,DOAJ_Seal
BioMedical Engineering OnLine,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
International Journal for Equity in Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Blind peer review,Yes,28,CC BY,TRUE,Yes
Environmental Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Open peer review,Yes,20,CC BY,TRUE,Yes
Annals of Clinical Microbiology and Antimicrobials,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
International Journal of Health Geographics,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Molecular Cancer,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Lipids in Health and Disease,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Blind peer review,Yes,7,CC BY,TRUE,Yes
Cardiovascular Ultrasound,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Open peer review,Yes,7,CC BY,TRUE,Yes
Clinical and Molecular Allergy,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Journal of Inflammation,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,27,CC BY,TRUE,Yes
Journal of Nanobiotechnology,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Proteome Science,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Harm Reduction Journal,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,26,CC BY,TRUE,Yes
Health and Quality of Life Outcomes,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,22,CC BY,TRUE,Yes
World Journal of Surgical Oncology,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Reproductive Biology and Endocrinology,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Thrombosis Journal,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Human Resources for Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Open peer review,Yes,34,CC BY,TRUE,Yes
Health Research Policy and Systems,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Open peer review,Yes,27,CC BY,TRUE,Yes
Journal of Biology,BioMed Central,NA,NA,NA,,2002,NA,NA,NA,NA,CC BY,NA,Yes
Cost Effectiveness and Resource Allocation,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,34,CC BY,TRUE,Yes
Population Health Metrics,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Open peer review,Yes,29,CC BY,TRUE,Yes
Cell Communication and Signaling,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
International Journal of Behavioral Nutrition and Physical Activity,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Journal of Translational Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,25,CC BY,TRUE,Yes
Human Genomics,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Biological Procedures Online,BioMed Central,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,9,CC BY,TRUE,Yes
International Review of Research in Open and Distance Learning,Athabasca University Press,Canada,No,NA,DOI,2001,English,Double blind peer review,Yes,29,CC BY,TRUE,Yes
Poljarnyj Vestnik: Norwegian Journal of Slavic Studies,Septentrio Academic Publishing,Norway,No,NA,DOI,2007,"English, Russian",Double blind peer review,Yes,8,CC BY,TRUE,Yes
Nordisk Tidsskrift for Helseforskning,Septentrio Academic Publishing,Norway,No,NA,DOI,2009,Norwegian,Double blind peer review,Yes,24,CC BY,TRUE,Yes
Estudos de Literatura Brasileira Contemporânea,Universidade de Brasília,Brazil,No,NA,DOI,2010,"Portuguese, Spanish; Castilian",Double blind peer review,Yes,36,CC BY-NC,TRUE,Yes
Meridiano 47,Instituto Brasileiro de Relações Internacionais,Brazil,No,NA,DOI,2000,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,12,CC BY,TRUE,Yes
Journal of Applied Clinical Medical Physics,Wiley,United States,Yes,Yes,DOI,2000,English,Double blind peer review,Yes,13,CC BY,TRUE,Yes
Wireless Communications and Mobile Computing,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2017,English,Blind peer review,Yes,28,CC BY,TRUE,Yes
Journal of the Medical Library Association,"University Library System, University of Pittsburgh",United States,No,NA,DOI,2002,English,Double blind peer review,NA,26,CC BY,TRUE,Yes
PLoS Biology ,Public Library of Science (PLoS),United States,Yes,Yes,DOI,2003,English,Peer review,Yes,28,CC BY,TRUE,Yes
Pediatric Rheumatology Online Journal,BioMed Central,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
PLoS Medicine,Public Library of Science (PLoS),United States,Yes,Yes,DOI,2004,English,Peer review,Yes,32,CC BY,TRUE,Yes
Journal of the International Society of Sports Nutrition,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
PLoS Computational Biology,Public Library of Science (PLoS),United States,Yes,Yes,DOI,2005,English,Peer review,Yes,32,CC BY,TRUE,Yes
PLoS Pathogens,Public Library of Science (PLoS),United States,Yes,Yes,DOI,2005,English,Peer review,Yes,24,CC BY,TRUE,Yes
PLoS Genetics,Public Library of Science (PLoS),United States,Yes,Yes,DOI,2005,English,Peer review,Yes,26,CC BY,TRUE,Yes
Physical Review Special Topics. Physics Education Research,American Physical Society,United States,Yes,Yes,DOI,2005,English,Peer review,Yes,31,CC BY,TRUE,Yes
Contrast Media & Molecular Imaging,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2017,English,Blind peer review,Yes,23,CC BY,TRUE,Yes
Clinical Proteomics,BioMed Central,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Empirical Musicology Review,The Ohio State University Libraries,United States,No,NA,DOI,2006,English,Open peer review,NA,19,CC BY-NC,TRUE,Yes
NAMMCO Scientific Publications,Septentrio Academic Publishing,Norway,No,NA,DOI,2014,English,Peer review,Yes,52,CC BY,TRUE,Yes
DARU: Journal of Pharmaceutical Sciences,BioMed Central,United Kingdom,Yes,Yes,DOI,1990,English,Double blind peer review,Yes,24,CC BY,TRUE,Yes
Natural Hazards and Earth System Sciences,Copernicus Publications,Germany,Yes,Yes,DOI,2001,English,Peer review,Yes,43,CC BY,TRUE,Yes
Biblios,"University Library System, University of Pittsburgh",United States,No,NA,DOI,2011,"Portuguese, Spanish; Castilian",Peer review,NA,10,CC BY,TRUE,Yes
International Journal of Integrated Care,Ubiquity Press,United Kingdom,Yes,Yes,DOI,2000,English,Double blind peer review,Yes,12,CC BY,TRUE,Yes
Mobile Information Systems ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,48,CC BY,TRUE,Yes
Encyclopaideia,University of Bologna,Italy,No,NA,DOI,2014,"English, Italian",Double blind peer review,NA,15,CC BY,TRUE,Yes
Scienza & Politica,University of Bologna,Italy,No,NA,DOI,1989,"English, Italian",Double blind peer review,NA,30,CC BY,TRUE,Yes
Journal of Orthopaedics and Traumatology,Springer,Germany,No,NA,DOI,2008,English,Double blind peer review,Yes,13,CC BY,TRUE,Yes
Bollettino Telematico di Filosofia Politica,Università di Pisa,Italy,No,NA,NBN http://www.depositolegale.it/national-bibliography-number/,2000,"English, Italian",Peer review,NA,4,CC BY-SA,TRUE,Yes
Aestimum,Firenze University Press,Italy,No,NA,DOI,1977,"English, Italian",Double blind peer review,NA,12,CC BY,TRUE,Yes
Reti Medievali Rivista,Firenze University Press,Italy,No,NA,"DOI, National Bibliography Number (NBN)",2000,"English, French, German, Italian, Portuguese, Spanish; Castilian",Double blind peer review,Yes,10,CC BY,TRUE,Yes
Acta Crystallographica Section E,International Union of Crystallography,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,3,CC BY,TRUE,Yes
Southern African Journal of HIV Medicine,AOSIS,South Africa,No,NA,DOI,2009,English,Double blind peer review,Yes,30,CC BY,TRUE,Yes
Verbum et Ecclesia ,AOSIS,South Africa,Yes,NA,DOI,1980,"Afrikaans, Dutch; Flemish, English, German",Double blind peer review,Yes,17,CC BY,TRUE,Yes
GMS German Medical Science,German Medical Science GMS Publishing House,Germany,No,NA,"DOI, URN",2003,"English, German",Blind peer review,NA,11,CC BY,TRUE,Yes
Gynecological Surgery,Springer,United Kingdom,Yes,Yes,DOI,2017,English,Blind peer review,Yes,5,CC BY,TRUE,Yes
HiN - Alexander von Humboldt im Netz. Internationale Zeitschrift für Humboldt-Studien,Universität Potsdam,Germany,No,NA,DOI,2000,"English, French, German, Spanish; Castilian",Peer review,NA,16,CC BY-NC,TRUE,Yes
Tobacco Induced Diseases,E.U.E.P. European Publishing,Greece,Yes,Yes,DOI,2002,English,Double blind peer review,Yes,12,CC BY,TRUE,Yes
Food & Nutrition Research,Swedish Nutrition Foundation,Sweden,Yes,Yes,DOI,2008,English,Double blind peer review,Yes,14,CC BY,TRUE,Yes
Designs for Learning,Stockholm University Press ,Sweden,No,NA,DOI,2008,English,Editorial review,Yes,10,CC BY,TRUE,Yes
e-Ciencias de la Información,Universidad de Costa Rica,Costa Rica,No,NA,DOI,2011,Spanish; Castilian,Double blind peer review,Yes,16,CC BY-NC-SA,TRUE,Yes
Marine Drugs,MDPI AG,Switzerland,Yes,NA,DOI,2003,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
International Journal of Environmental Research and Public Health,MDPI AG,Switzerland,Yes,NA,DOI,2004,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Frontiers in Neuroscience,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2007,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Molecular Neuroscience,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2008,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Cellular Neuroscience,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2007,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Neural Circuits,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2007,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Neuroanatomy,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2007,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Systems Neuroscience,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2007,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Integrative Neuroscience,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2007,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Behavioral Neuroscience,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2007,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Human Neuroscience,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2008,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Computational Neuroscience,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2007,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Neuroinformatics,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2007,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Neurorobotics,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2007,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Neuroengineering,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2009,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Synaptic Neuroscience,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Aging Neuroscience,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2009,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Pharmacology,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Physiology,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Psychiatry,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2009,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Psychology,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Neurology,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Endocrinology,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Microbiology,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Immunology,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Bulletin of Mathematical Sciences,Springer,Switzerland,No,NA,DOI,2011,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Frontiers in Plant Science,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Frontiers in Genetics,Frontiers Media S.A.,Switzerland,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Salud Colectiva,"Instituto de Salud Colectiva, Universidad Nacional de Lanús",Argentina,No,NA,DOI,2005,"English, Spanish; Castilian",Double blind peer review,Yes,26,CC BY-NC,TRUE,Yes
Petroleum Science,Springer,China,No,Yes,DOI,2015,English,Peer review,Yes,13,CC BY,TRUE,Yes
Earthquake Science,Springer,China,No,Yes,DOI,2015,English,Peer review,Yes,13,CC BY,TRUE,Yes
Protein & Cell,Springer,China,No,Yes,DOI,2014,English,Peer review,Yes,13,CC BY,TRUE,Yes
Photonic Sensors,Springer,Germany,No,NA,DOI,2011,English,Double blind peer review,Yes,13,CC BY,TRUE,Yes
Journal of Animal Science and Biotechnology,BioMed Central,United Kingdom,No,NA,DOI,2012,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Journal of Venomous Animals and Toxins including Tropical Diseases,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Double blind peer review,Yes,15,CC BY,TRUE,Yes
Atmospheric Chemistry and Physics,Copernicus Publications,Germany,Yes,Yes,DOI,2001,English,Peer review,Yes,16,CC BY,TRUE,Yes
Advances in Geosciences,Copernicus Publications,Germany,Yes,Yes,DOI,2003,English,Peer review,Yes,30,CC BY,TRUE,Yes
African Invertebrates,Pensoft Publishers,South Africa,Yes,NA,DOI,2006,English,Open peer review,Yes,12,CC BY,TRUE,Yes
Data Science Journal,Ubiquity Press,United Kingdom,Yes,Yes,DOI,2002,English,Blind peer review,Yes,10,CC BY,TRUE,Yes
South African Journal of Human Resource Management,AOSIS,South Africa,Yes,Yes,DOI,2003,English,Double blind peer review,Yes,22,CC BY,TRUE,Yes
Advances in Radio Science ,Copernicus Publications,Germany,Yes,NA,DOI,2003,"English, German",Peer review,Yes,45,CC BY,TRUE,Yes
EURASIP Journal on Wireless Communications and Networking,Springer,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Fixed Point Theory and Applications,Springer,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Advances in Difference Equations,Springer,Switzerland,Yes,Yes,DOI,2004,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Boundary Value Problems,Springer,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
EURASIP Journal on Embedded Systems,Springer,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Journal of Nanomaterials,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
International Journal of Biomedical Imaging,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
"EURASIP Journal on Audio, Speech, and Music Processing",Springer,Germany,Yes,Yes,DOI,2006,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
PPAR Research,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
EURASIP Journal on Image and Video Processing,Springer,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Journal of Control Science and Engineering,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
Computational Intelligence and Neuroscience,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
Modelling and Simulation in Engineering,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Advances in OptoElectronics,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Advances in Multimedia,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
International Journal of Antennas and Propagation,Hindawi Limited,United Kingdom,Yes,NA,DOI,2007,English,Blind peer review,Yes,24,CC BY,TRUE,Yes
Advances in Human-Computer Interaction,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,36,CC BY,TRUE,Yes
Advances in Tribology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
International Journal of Aerospace Engineering,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,22,CC BY,TRUE,Yes
Science and Technology of Nuclear Installations,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,22,CC BY,TRUE,Yes
Dermatology Research and Practice,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Gastroenterology Research and Practice,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
EURASIP Journal on Advances in Signal Processing,Springer,United Kingdom,Yes,Yes,DOI,2001,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Advances in Acoustics and Vibration,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,23,CC BY,TRUE,Yes
Advances in Pharmacological Sciences,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Advances in Urology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
International Journal of Telemedicine and Applications,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Anesthesiology Research and Practice,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
International Journal of Computer Games Technology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Current Gerontology and Geriatrics Research,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Interdisciplinary Perspectives on Infectious Diseases,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Advances in Fuzzy Systems,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,21,CC BY,TRUE,Yes
International Journal of Reconfigurable Computing,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,33,CC BY,TRUE,Yes
Journal of Sensors,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Advances in High Energy Physics,Hindawi Limited,United Kingdom,No,NA,DOI,2007,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
International Journal of Digital Multimedia Broadcasting,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Applied and Environmental Soil Science,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Advances in Astronomy,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,22,CC BY,TRUE,Yes
Advances in Physical Chemistry,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Advances in Bioinformatics,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
International Journal of Chemical Engineering ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Advances in Civil Engineering,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
Advances in Condensed Matter Physics,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
International Journal of Agronomy,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Journal of Toxicology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,10,CC BY,TRUE,Yes
International Journal of Endocrinology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
Advances in Materials Science and Engineering,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
Journal of Oncology,Hindawi Limited,United Kingdom,Yes,NA,DOI,2008,English,Blind peer review,Yes,26,CC BY,TRUE,Yes
International Journal of Zoology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,26,CC BY,TRUE,Yes
Journal of Cancer Epidemiology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
Advances in Virology ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,22,CC BY,TRUE,Yes
International Journal of Dentistry,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
International Journal of Analytical Chemistry,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
International Journal of Biomaterials,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,21,CC BY,TRUE,Yes
International Journal of Geophysics,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,21,CC BY,TRUE,Yes
International Journal of Cell Biology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
Advances in Hematology ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
Advances in Mathematical Physics ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Advances in Operations Research,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
International Journal of Microbiology ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
International Journal of Otolaryngology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,22,CC BY,TRUE,Yes
International Journal of Rheumatology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,24,CC BY,TRUE,Yes
Advances in Meteorology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,23,CC BY,TRUE,Yes
International Journal of Corrosion,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
International Journal of Forestry Research,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
International Journal of Optics,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
International Journal of Polymer Science,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
International Journal of Spectroscopy,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Journal of Marine Biology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Journal of Nanotechnology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Journal of Probability and Statistics,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Obstetrics and Gynecology International,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
Journal of Robotics,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,22,CC BY,TRUE,Yes
Case Reports in Medicine,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
International Journal of Differential Equations,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
Stem Cells International,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2010,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Journal of Tropical Medicine,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
International Journal of Ecology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
Applied Computational Intelligence and Soft Computing,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,21,CC BY,TRUE,Yes
International Journal of Pediatrics,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
Journal of Environmental and Public Health,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
